"word","AW_POS","pep_id","searchname","PEP_POS","score","word_count","pos_percent","title","publishedat","polarity","art_id","url","category","author","shares"
korruption,21,169,Eduard Lintner,6,15,483,1,"Bestechungsgelder - ""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:33:00Z",-0.0960317478,7524,https://text.derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan?ref=rss,,,{}
geldwäsche,190,169,Eduard Lintner,167,23,483,35,"Bestechungsgelder - ""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:33:00Z",-0.0960317478,7524,https://text.derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan?ref=rss,,,{}
beeinflussung,157,44,Doris Fiala,140,17,742,19,Kaviar-Diplomatie im Europarat,"2018-04-23T13:40:00Z",0.0397727266,7531,https://www.derbund.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,533,169,Eduard Lintner,462,71,742,62,Kaviar-Diplomatie im Europarat,"2018-04-23T13:40:00Z",0.0397727266,7531,https://www.derbund.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,378,44,Doris Fiala,313,65,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:40:00Z",0.0397727266,7531,https://www.derbund.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
geldwäsche,380,44,Doris Fiala,313,67,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:40:00Z",0.0397727266,7531,https://www.derbund.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
beeinflussung,157,44,Doris Fiala,140,17,742,19,Kaviar-Diplomatie im Europarat,"2018-04-23T13:28:00Z",0.0397727266,7533,https://bazonline.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,533,169,Eduard Lintner,462,71,742,62,Kaviar-Diplomatie im Europarat,"2018-04-23T13:28:00Z",0.0397727266,7533,https://bazonline.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,378,44,Doris Fiala,313,65,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:28:00Z",0.0397727266,7533,https://bazonline.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
geldwäsche,380,44,Doris Fiala,313,67,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:28:00Z",0.0397727266,7533,https://bazonline.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
beeinflussung,157,44,Doris Fiala,140,17,742,19,Kaviar-Diplomatie im Europarat,"2018-04-23T13:25:00Z",0.0397727266,7534,https://www.bernerzeitung.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,533,169,Eduard Lintner,462,71,742,62,Kaviar-Diplomatie im Europarat,"2018-04-23T13:25:00Z",0.0397727266,7534,https://www.bernerzeitung.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
korruption,378,44,Doris Fiala,313,65,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:25:00Z",0.0397727266,7534,https://www.bernerzeitung.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
geldwäsche,380,44,Doris Fiala,313,67,742,42,Kaviar-Diplomatie im Europarat,"2018-04-23T13:25:00Z",0.0397727266,7534,https://www.bernerzeitung.ch/ausland/europa/KaviarDiplomatie-im-Europarat/story/30347125,,,{}
steuerhinterziehung,398,97,Leo Müller,322,76,564,57,Linke wehren sich erfolgreich gegen AHV-Einsparungen,"2015-06-11T10:40:00Z",0.114864863,2558,http://bazonline.ch/schweiz/standard/Linke-wehren-sich-erfolgreich-gegen-AHVEinsparungen/story/10484838,news/Politics,,"{""facebook"": 2}"
korruption,597,72,Bea Heim,366,231,711,51,Heikler Seitenwechsel: Ehemaliger Spitzenbeamter berät nun Pharmafirmen | Luzerner Zeitung,"2019-01-15T04:12:00Z",0.0511111096,4355,https://www.luzernerzeitung.ch/schweiz/abgang-mit-risiken-und-nebenwirkungen-ld.1085220,news/Politics,Sven Altermatt,{}
korruption,386,72,Bea Heim,126,260,502,25,Heikler Seitenwechsel von Swissmedic-Chefjurist: Ein Abgang mit Risiken und Nebenwirkungen,"2019-01-15T03:01:00Z",0.127586201,4356,https://www.aargauerzeitung.ch/wirtschaft/heikler-seitenwechsel-von-swissmedic-chefjurist-ein-abgang-mit-risiken-und-nebenwirkungen-133960952,news/Politics,Sven Altermatt,{}
beeinflussung,227,157,Christian Miesch,200,27,514,39,Juristen kritisieren Immunität für SVP-Miesch,"2018-06-23T00:26:00Z",-0.0242424235,7495,https://www.bernerzeitung.ch/schweiz/standard/Juristen-kritisieren-Immunitaet-fuer-SVPMiesch/story/11215734,news/Business,,{}
bestechung,508,157,Christian Miesch,479,29,514,93,Juristen kritisieren Immunität für SVP-Miesch,"2018-06-23T00:26:00Z",-0.0242424235,7495,https://www.bernerzeitung.ch/schweiz/standard/Juristen-kritisieren-Immunitaet-fuer-SVPMiesch/story/11215734,news/Business,,{}
bestechung,505,157,Christian Miesch,479,26,514,93,Juristen kritisieren Immunität für SVP-Miesch,"2018-06-23T00:26:00Z",-0.0242424235,7495,https://www.bernerzeitung.ch/schweiz/standard/Juristen-kritisieren-Immunitaet-fuer-SVPMiesch/story/11215734,news/Business,,{}
wahlbetrug,49,124,Franz Ruppen,17,32,137,12,Mutmasslicher Täter verlässt die Partei,"2017-08-30T19:49:00Z",0.222727269,11136,http://www.1815.ch/news/wallis/aktuell/nicht-mehr-svpo-mitglied/,news/Politics,Walliser Bote,"{""facebook"": 36}"
steuerhinterziehung,530,95,Mattea Meyer,269,261,711,38,SP kämpft gegen «Steuersenkungsorgie»,"2015-03-28T00:19:00Z",0.0427083336,2986,http://www.tagesanzeiger.ch/zuerich/region/SP-kaempft-gegen-Steuersenkungsorgie/story/26616219,news/Politics,,"{""facebook"": 11}"
steuerhinterziehung,525,95,Mattea Meyer,269,256,711,38,SP kämpft gegen «Steuersenkungsorgie»,"2015-03-28T00:19:00Z",0.0427083336,2986,http://www.tagesanzeiger.ch/zuerich/region/SP-kaempft-gegen-Steuersenkungsorgie/story/26616219,news/Politics,,"{""facebook"": 11}"
steuerhinterziehung,506,95,Mattea Meyer,269,237,711,38,SP kämpft gegen «Steuersenkungsorgie»,"2015-03-28T00:19:00Z",0.0427083336,2986,http://www.tagesanzeiger.ch/zuerich/region/SP-kaempft-gegen-Steuersenkungsorgie/story/26616219,news/Politics,,"{""facebook"": 11}"
vorteilsnahme,9,153,Pierre Maudet,7,2,661,1,"Affäre um Pierre Maudet - ""Maudet ist schon seit langem eine Belastung für die Partei""","2019-01-17T06:29:00Z",-0.00947712455,4244,https://www.srf.ch/news/schweiz/affaere-um-pierre-maudet-maudet-ist-schon-seit-langem-eine-belastung-fuer-die-partei,news/Politics,imhm,"{""facebook"": 4}"
steuerhinterziehung,261,135,Luzi Stamm,172,89,335,51,Nationalratskommission will Änderungen bei der Verrechnungssteuer,"2017-10-25T09:33:00Z",0.0909090936,11273,https://www.cash.ch/news/politik/nationalratskommission-will-aenderungen-bei-der-verrechnungssteuer-1112616,news/Business,,{}
beeinflussung,349,78,Christian Imark,162,187,554,29,Runder Tisch soll Ideen für kantonale Massnahmen liefern,"2015-02-17T16:21:00Z",0.134482756,2775,http://www.grenchnertagblatt.ch/solothurn/kanton-solothurn/runder-tisch-soll-ideen-fuer-kantonale-massnahmen-liefern-128848854,news/Politics,Elisabeth Seifert,{}
beeinflussung,163,143,Hans-Ueli Vogt,115,48,196,59,SVP-Nationalrat Binder macht Platz für die «Neuen»,"2015-04-09T08:50:00Z",0.0732142851,2854,http://bazonline.ch/zuerich/stadtzuerich/SVPNationalrat-Binder-macht-Platz-fuer-die-Neuen/story/13674310,,,{}
geldwäscherei,731,157,Christian Miesch,451,280,1323,34,Kasachische Lobbying-Affäre wühlt Schweizer Politik auf - SWI,"2015-05-20T14:33:00Z",-0.0382748544,2921,http://www.swissinfo.ch/ger/wirtschaft/uebermaessige-interessenvertretung-_kasachische-lobbying-affaere-wuehlt-schweizer-politik-auf/41441738,news/Politics,Samuel Jaberg,"{""facebook"": 21}"
beeinflussung,378,88,Christa Markwalder,330,48,1323,25,Kasachische Lobbying-Affäre wühlt Schweizer Politik auf - SWI,"2015-05-20T14:33:00Z",-0.0382748544,2921,http://www.swissinfo.ch/ger/wirtschaft/uebermaessige-interessenvertretung-_kasachische-lobbying-affaere-wuehlt-schweizer-politik-auf/41441738,news/Politics,Samuel Jaberg,"{""facebook"": 21}"
veruntreuung,464,157,Christian Miesch,451,13,1323,34,Kasachische Lobbying-Affäre wühlt Schweizer Politik auf - SWI,"2015-05-20T14:33:00Z",-0.0382748544,2921,http://www.swissinfo.ch/ger/wirtschaft/uebermaessige-interessenvertretung-_kasachische-lobbying-affaere-wuehlt-schweizer-politik-auf/41441738,news/Politics,Samuel Jaberg,"{""facebook"": 21}"
korruption,462,157,Christian Miesch,451,11,1323,34,Kasachische Lobbying-Affäre wühlt Schweizer Politik auf - SWI,"2015-05-20T14:33:00Z",-0.0382748544,2921,http://www.swissinfo.ch/ger/wirtschaft/uebermaessige-interessenvertretung-_kasachische-lobbying-affaere-wuehlt-schweizer-politik-auf/41441738,news/Politics,Samuel Jaberg,"{""facebook"": 21}"
vorteilsnahme,227,88,Christa Markwalder,23,204,232,10,FDP will in Kasachstan-Affäre rasch Klarheit,"2015-05-11T16:40:00Z",0.0571428575,2936,"http://www.tagblatt.ch/aktuell/schweiz/schweiz-sda/FDP-will-in-Kasachstan-Affaere-rasch-Klarheit;art253650,4221374",,,{}
geldwäscherei,685,92,Christian Lüscher,275,410,728,38,"""Es gibt kein kasachisches Lobbying im Schweizer Parlament"" - SWI","2015-05-20T14:50:00Z",0.0644230768,2920,http://www.swissinfo.ch/ger/ehemalige-sowjetrepublik-verteidigt-sich_-es-gibt-kein-kasachisches-lobbying-im-schweizer-parlament-/41441820,news/Politics,Samuel Jaberg,"{""facebook"": 2}"
geldwäscherei,94,22,Roland Rino Büchel,14,80,495,3,Staatsanwalt stolpert über Fifa-Ermittlungen | St.Galler Tagblatt,"2018-11-10T05:47:00Z",0.162499994,8145,https://www.tagblatt.ch/schweiz/staatsanwalt-stolpert-ueber-fifa-ermittlungen-ld.1068719,,Pascal Ritter,{}
korruption,65,22,Roland Rino Büchel,14,51,495,3,Staatsanwalt stolpert über Fifa-Ermittlungen | St.Galler Tagblatt,"2018-11-10T05:47:00Z",0.162499994,8145,https://www.tagblatt.ch/schweiz/staatsanwalt-stolpert-ueber-fifa-ermittlungen-ld.1068719,,Pascal Ritter,{}
drogenhandel,306,53,Balthasar Glättli,281,25,504,56,"""Jihad-Touristen muss der Staat nicht retten""","2018-07-16T03:49:00Z",0.0183333326,8159,http://www.20min.ch/ausland/news/story/-Jihad-Touristen-muss-der-Staat-nicht-retten--12493050,news/Politics,,"{""facebook"": 281}"
schwarzgeld,520,84,Roger Köppel,506,14,753,67,Rundfunkgebühren: Wird der Schweizer Rundfunk zerlegt?,"2015-06-19T10:36:00Z",-0.0641304329,2827,http://www.faz.net/aktuell/feuilleton/medien/rundfunkgebuehren-in-der-schweiz-auftrag-des-rundfunks-13652627.html,news/Politics,Jürg Altwegg,"{""facebook"": 9, ""googlePlus"": 6}"
beeinflussung,625,76,Ruth Humbel,556,69,752,74,Plötzlich fürchten sich alle vor dem Uno-Migrationspakt | NZZ,"2018-10-23T18:55:00Z",-0.0375000015,8490,https://www.nzz.ch/schweiz/ploetzlich-haben-alle-angst-vor-dem-uno-migrationspakt-ld.1430247,news/Politics,Lucien Scherrer,"{""facebook"": 740}"
beeinflussung,493,44,Doris Fiala,258,235,752,34,Plötzlich fürchten sich alle vor dem Uno-Migrationspakt | NZZ,"2018-10-23T18:55:00Z",-0.0375000015,8490,https://www.nzz.ch/schweiz/ploetzlich-haben-alle-angst-vor-dem-uno-migrationspakt-ld.1430247,news/Politics,Lucien Scherrer,"{""facebook"": 740}"
betrug,365,53,Balthasar Glättli,26,339,874,3,Glättli kriegt Püggeli und Berset verliert die Geduld - das war die Sozialdetektive-Arena,"2018-10-27T04:30:00Z",0.0244623665,8713,https://www.watson.ch/!444744165,news/Politics,Helene Obrist,"{""facebook"": 7}"
betrug,358,53,Balthasar Glättli,26,332,874,3,Glättli kriegt Püggeli und Berset verliert die Geduld - das war die Sozialdetektive-Arena,"2018-10-27T04:30:00Z",0.0244623665,8713,https://www.watson.ch/!444744165,news/Politics,Helene Obrist,"{""facebook"": 7}"
betrug,503,154,Donald Trump,118,385,688,17,"Irans Präsident Rohani hofft, dass Schweizer Firmen seinem Land treu bleiben","2018-07-02T03:04:00Z",0.135569111,8730,https://www.aargauerzeitung.ch/schweiz/irans-praesident-rohani-hofft-dass-schweizer-firmen-seinem-land-treu-bleiben-132759148,news/Politics,Michel Burtscher,{}
betrug,322,139,Aline Trede,196,126,323,61,SP und FDP gewinnen Berner Grossratswahlen - SVP verliert,"2018-03-26T00:07:00Z",0.0379999988,7163,https://www.watson.ch/!196830103,news/Politics,,"{""facebook"": 54}"
korruption,255,71,Alfred Heer,250,5,412,61,SVP und FDP wählen neue Fraktionschefs,"2017-11-18T09:40:00Z",0.0716666654,9414,http://www.1815.ch/news/schweiz/politik/svp-und-fdp-waehlen-neue-fraktionschefs-20171116145009/,news/Politics,Walliser Bote,{}
steuerhinterziehung,465,145,Beat Walti,365,100,527,69,Widerstand gegen Lieferung von Bankdaten formiert sich,"2017-08-11T03:36:00Z",-0.0073529412,9630,https://www.derbund.ch/wirtschaft/geld/widerstand-gegen-lieferung-von-bankdaten-formiert-sich/story/16597726,news/Politics,Urs Jaudas,{}
betrug,831,28,Thierry Burkart,542,289,843,64,Gratis-Parkplätze an Autobahnen gegen den Stau,"2017-10-30T20:35:00Z",0.103773586,9826,https://www.tagesanzeiger.ch/schweiz/standard/GratisParkplaetze-an-Autobahnen-gegen-den-Stau/story/12761866,news/Politics,Stefan Häne,{}
betrug,356,148,Thomas Weibel,344,12,800,43,Bürgerliche brüskieren Kantone mit Sparplan,"2018-03-02T14:18:00Z",-0.0456521735,5438,https://www.tagesanzeiger.ch/schweiz/standard/Buergerliche-brueskieren-Kantone-mit-Sparplan/story/17661220,,,{}
geldwäsche,281,44,Doris Fiala,112,169,339,33,Kompletter Irrsinn!,"2017-10-21T07:40:00Z",0.0217391308,10040,https://www.bernerzeitung.ch/schweiz/standard/Kompletter-Irrsinn/story/13475666,news/Business,,{}
bestechung,280,44,Doris Fiala,112,168,339,33,Kompletter Irrsinn!,"2017-10-21T07:40:00Z",0.0217391308,10040,https://www.bernerzeitung.ch/schweiz/standard/Kompletter-Irrsinn/story/13475666,news/Business,,{}
geldwäscherei,618,154,Donald Trump,498,120,1751,28,"""Sie sollten diesen absoluten ­Unsinn ­schärfstens ­zurückweisen""","2017-09-30T20:58:00Z",-0.000307971,10046,https://www.derbund.ch/sonntagszeitung/leserbriefe/Sie-sollten-diesen-absoluten-Unsinn-schaerfstens-zurueckweisen/story/20101577,news/Business,,{}
betrug,742,53,Balthasar Glättli,215,527,768,28,Ticker: Bei der Altersvorsorge zeichnet sich ein Nein ab,"2017-09-24T11:22:00Z",0.042857144,10221,http://www.handelszeitung.ch/politik/ticker-bei-der-altersvorsorge-zeichnet-sich-ein-nein-ab-1487781,news/Business,Hz Redaktion,"{""facebook"": 11}"
betrug,1972,60,Maya Graf,1121,851,2520,44,SRF News: Der Abstimmungssonntag - Altersvorsorge auf Nein-Kurs,"2017-09-24T09:43:00Z",0.0260504205,10313,https://www.srf.ch/news/schweiz/abstimmungen/der-abstimmungssonntag-altersvorsorge-auf-nein-kurs,news/Politics,Viviane Bischoff,{}
beeinflussung,89,169,Eduard Lintner,6,83,499,1,"""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:28:00Z",-0.0960317478,7536,https://derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan,,,"{""facebook"": 3}"
korruption,196,169,Eduard Lintner,170,26,499,34,"""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:28:00Z",-0.0960317478,7536,https://derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan,,,"{""facebook"": 3}"
korruption,21,169,Eduard Lintner,6,15,499,1,"""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:28:00Z",-0.0960317478,7536,https://derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan,,,"{""facebook"": 3}"
geldwäsche,198,169,Eduard Lintner,170,28,499,34,"""Starker Verdacht"" auf Korruption im Europarat durch Aserbaidschan","2018-04-23T05:28:00Z",-0.0960317478,7536,https://derstandard.at/2000078446461/Starker-Verdacht-auf-Korruption-im-Europarat-durch-Aserbaidschan,,,"{""facebook"": 3}"
betrug,645,73,Verena Herzog,531,114,637,83,Millionenbetrug durch Spitex,"2017-07-16T13:02:00Z",-0.0588050298,10492,http://www.tagesanzeiger.ch/sonntagszeitung/millionenbetrug-durch-spitex/story/26953007,news/Business,,"{""linkedIn"": 3}"
geldwäscherei,282,92,Christian Lüscher,190,92,470,40,"Oligarchen-Connection: Möglicher Kandidat vertritt Kasachen-Clan, der mit Trump geschäftete","2017-07-21T02:34:00Z",0.0407407396,10736,https://www.aargauerzeitung.ch/schweiz/oligarchen-connection-moeglicher-kandidat-vertritt-kasachen-clan-der-mit-trump-geschaeftete-131542567,news/Business,Henry Habegger,{}
käuflich,303,92,Christian Lüscher,190,113,470,40,"Oligarchen-Connection: Möglicher Kandidat vertritt Kasachen-Clan, der mit Trump geschäftete","2017-07-21T02:34:00Z",0.0407407396,10736,https://www.aargauerzeitung.ch/schweiz/oligarchen-connection-moeglicher-kandidat-vertritt-kasachen-clan-der-mit-trump-geschaeftete-131542567,news/Business,Henry Habegger,{}
steuerhinterziehung,669,145,Beat Walti,591,78,667,89,Bankdatenaustausch ist gefährdet,"2017-09-27T05:26:00Z",0.0544444434,10844,"https://www.tagblatt.ch/nachrichten/schweiz/bankdatenaustausch-ist-gefaehrdet;art120101,5098068",news/Politics,Roger Braun,{}
geldwäscherei,556,4,Thomas Aeschi,357,199,709,50,Datentausch ohne Gegengeschäft,"2015-05-28T00:55:00Z",0.0546052642,1811,http://www.derbund.ch/wirtschaft/Datentausch-ohne-Gegengeschaeft/story/18460212,news/Politics,Stephan Israel,{}
korruption,558,4,Thomas Aeschi,357,201,709,50,Datentausch ohne Gegengeschäft,"2015-05-28T00:55:00Z",0.0546052642,1811,http://www.derbund.ch/wirtschaft/Datentausch-ohne-Gegengeschaeft/story/18460212,news/Politics,Stephan Israel,{}
betrug,322,76,Ruth Humbel,295,27,915,32,Als wäre der Teufel hinter ihnen her,"2018-03-16T17:06:00Z",0.13161765,6311,https://www.derbund.ch/schweiz/standard/Als-waere-der-Teufel-hinter-ihnen-her/story/21970535,,,{}
beeinflussung,157,44,Doris Fiala,140,17,742,19,Bestechung im Europarat,"2018-04-23T14:30:00Z",0.0397727266,7527,https://bazonline.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
korruption,533,169,Eduard Lintner,462,71,742,62,Bestechung im Europarat,"2018-04-23T14:30:00Z",0.0397727266,7527,https://bazonline.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
korruption,378,44,Doris Fiala,313,65,742,42,Bestechung im Europarat,"2018-04-23T14:30:00Z",0.0397727266,7527,https://bazonline.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
geldwäsche,380,44,Doris Fiala,313,67,742,42,Bestechung im Europarat,"2018-04-23T14:30:00Z",0.0397727266,7527,https://bazonline.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
korruption,374,84,Roger Köppel,268,106,883,30,Darbellays Forderung an SVP - und andere Themen der Sonntagspresse,"2015-03-01T05:36:00Z",-0.0550847463,1937,http://www.cash.ch/news/alle/rss/darbellays_forderung_an_svp_und_andere_themen_der_sonntagspresse-3299357-448,news/Business,,{}
bestechung,372,84,Roger Köppel,268,104,883,30,Darbellays Forderung an SVP - und andere Themen der Sonntagspresse,"2015-03-01T05:36:00Z",-0.0550847463,1937,http://www.cash.ch/news/alle/rss/darbellays_forderung_an_svp_und_andere_themen_der_sonntagspresse-3299357-448,news/Business,,{}
betrug,321,28,Thierry Burkart,300,21,654,46,Postauto-Skandal - Politiker fordern Konsequenzen an der Post-Spitze,"2018-02-10T05:30:00Z",-0.0547169819,6085,https://www.srf.ch/news/schweiz/postauto-skandal-politiker-fordern-konsequenzen-an-der-post-spitze,,,"{""facebook"": 20}"
beeinflussung,157,44,Doris Fiala,140,17,742,19,Bestechung im Europarat,"2018-04-23T14:29:00Z",0.0397727266,7528,https://www.tagesanzeiger.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
korruption,533,169,Eduard Lintner,462,71,742,62,Bestechung im Europarat,"2018-04-23T14:29:00Z",0.0397727266,7528,https://www.tagesanzeiger.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
korruption,378,44,Doris Fiala,313,65,742,42,Bestechung im Europarat,"2018-04-23T14:29:00Z",0.0397727266,7528,https://www.tagesanzeiger.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
geldwäsche,380,44,Doris Fiala,313,67,742,42,Bestechung im Europarat,"2018-04-23T14:29:00Z",0.0397727266,7528,https://www.tagesanzeiger.ch/ausland/europa/Bestechung-im-Europarat/story/30347125,,,{}
korruption,383,22,Roland Rino Büchel,354,29,413,86,"Politiker über Fifa-Knall: ""Präsident Blatter muss weg!""","2015-05-27T12:11:00Z",0.109166667,2164,http://www.blick.ch/news/politik/politiker-ueber-fifa-knall-praesident-blatter-muss-weg-id3799416.html,news/Politics,Nico Menzato,"{""facebook"": 25}"
korruption,267,117,Maximilian Reimann,239,28,413,58,"Politiker über Fifa-Knall: ""Präsident Blatter muss weg!""","2015-05-27T12:11:00Z",0.109166667,2164,http://www.blick.ch/news/politik/politiker-ueber-fifa-knall-praesident-blatter-muss-weg-id3799416.html,news/Politics,Nico Menzato,"{""facebook"": 25}"
